index,age,gender,income,edu,city,smartphone,sns,movieNm,theaterNm,newspaper
3321,64,1,3,3,1,0,2,0,0,2
3826,52,1,11,5,1,1,2,6,0,2
3777,45,1,8,5,2,1,1,3,0,1
4728,81,2,4,3,1,1,2,0,0,2
9442,58,1,8,5,1,1,1,0,0,1
10014,55,1,8,5,1,1,2,2,0,1
6283,70,1,5,3,1,1,2,0,0,1
8815,73,1,1,2,1,1,2,1,0,2
7160,67,1,4,4,1,0,2,0,0,2
3911,82,1,3,2,1,1,2,0,0,2
167,20,2,1,5,1,1,1,3,1,1
7138,23,2,1,6,1,1,1,4,0,1
3844,14,2,1,3,1,1,1,3,0,1
2238,49,1,6,3,2,1,1,3,0,1
1009,15,1,1,3,1,1,2,1,0,2
10221,40,2,7,5,1,1,2,12,0,1
1487,26,1,5,5,1,1,1,3,0,1
6999,76,2,1,2,2,1,2,0,0,2
9622,22,2,1,5,1,1,1,6,2,1
6069,64,1,7,4,1,1,2,0,0,2
1389,51,1,5,5,1,1,1,0,0,2
2709,13,1,1,2,1,1,1,0,0,2
8852,54,1,8,4,1,1,2,5,0,2
5311,63,2,4,3,1,1,2,0,0,1
8687,54,2,4,4,1,1,1,1,0,1
2918,77,2,3,2,1,0,2,0,0,2
6065,92,2,2,2,2, ,2,0,0,2
7365,47,2,5,4,1,1,1,0,0,2
7787,10,2,1,2,1, ,2,0,0,2
1036,27,2,1,6,1,1,2,5,0,2
1593,10,1,1,2,1,1,2,4,0,2
565,66,1,6,4,1,0,2,1,0,2
6136,66,1,6,4,1,1,2,0,0,1
4221,37,1,7,5,1,1,1,8,3,2
834,48,2,1,5,1,1,1,2,0,2
7621,56,1,6,4,1,1,1,0,0,1
4495,63,1,6,4,1,1,2,3,0,1
3230,26,1,5,5,1,1,2,3,0,1
7416,27,1,6,4,2,1,1,2,0,1
6585,40,2,1,5,1,1,1,6,0,1
10570,66,1,5,4,1,1,1,2,0,1
5107,48,1,8,4,1,1,2,3,1,1
8413,12,2,1,2,2,1,1,1,0,2
1586,64,2,1,4,1,1,2,0,0,2
9491,61,2,1,4,1,1,2,1,0,1
2846,45,1,10,5,2,1,1,1,0,1
10476,82,2,1,3,1,1,2,0,0,2
1359,49,2,4,4,1,1,2,2,0,2
6354,18,1,1,4,1,1,1,1,0,1
8115,85,2,2,2,2,0,2,0,0,2
4707,64,2,7,4,1,1,2,5,0,1
9738,53,1,11,5,1,1,1,1,0,1
10642,39,2,6,5,1,1,1,6,0,1
8830,23,2,1,5,1,1,1,5,0,2
1459,59,2,5,5,1,1,2,1,0,1
8062,67,2,4,4,2,1,2,0,0,2
10523,83,1,3,3,2,0,2,0,0,2
9860,59,1,8,5,1,1,2,4,1,1
7321,77,1,3,3,1,0,2,0,0,2
8710,39,1,7,5,1,1,1,2,0,2
9205,59,1,8,3,1,1,2,0,0,2
9857,45,1,5,4,1,1,2,0,0,2
3156,51,2,5,5,1,1,1,0,0,1
10679,32,2,6,5,1,1,1,4,0,2
6523,74,2,1,2,2,1,2,0,0,2
3288,75,2,2,2,1,0,2,0,0,2
7785,48,2,7,5,1,1,1,2,0,2
1486,78,2,3,2,1,1,2,0,0,2
4543,79,2,1,2,1,0,2,0,0,2
5997,57,2,1,4,1,1,1,10,0,1
9705,47,1,10,5,1,1,2,1,0,1
1838,17,2,1,4,1,1,1,4,0,1
9441,27,2,7,5,1,1,1,5,0,1
8713,67,2,1,4,1,1,2,0,0,2
6666,27,1,7,5,1,1,1,2,0,1
3499,24,1,1,5,1,1,1,5,2,2
5691,35,2,6,5,1,1,2,5,2,1
8004,60,2,1,2,1,1,2,0,0,2
2085,62,2,4,4,1,1,1,0,0,2
10048,51,2,14,5,1,1,2,5,0,1
48,30,1,5,4,1,1,2,0,0,2
10043,56,1,6,4,1,1,2,0,0,1
8192,25,2,1,5,1,1,2,8,0,2
9198,13,2,1,3,1,1,1,10,0,1
6838,61,1,4,4,1,1,2,1,0,1
6461,31,2,6,5,1,1,1,8,1,1
10652,31,2,6,4,1,1,1,2,1,1
6576,47,2,1,5,1,1,1,5,0,1
5546,56,2,1,4,2,1,2,0,0,1
6527,62,1,2,2,2, ,2,0,0,2
3922,52,1,7,5,1,1,2,0,0,1
4612,28,1,1,5,1,1,2,10,0,2
7360,75,1,5,2,2,0,2,0,0,2
10168,39,2,1,5,1,1,2,3,0,1
8855,47,2,8,4,1,1,2,5,0,2
2233,51,1,8,4,2,1,1,3,0,1
4223,49,1,8,5,1,1,1,12,3,1
810,41,2,2,5,1,1,1,5,0,1
1790,78,2,1,3,1,0,2,0,0,2
6079,13,2,1,3,2,1,2,4,0,2
6866,49,1,5,4,2,1,2,1,1,1
6185,29,1,6,5,1,1,1,0,0,2
10578,51,1,6,4,1,1,1,3,0,1
5128,45,1,5,4,1,1,2,3,0,1
5818,85,2,2,2,1, ,2,0,0,2
6369,100,2,2,2,1, ,2,0,0,2
4152,51,1,12,5,1,1,1,0,0,1
3210,39,2,7,5,1,1,1,12,0,1
245,55,1,10,4,1,1,2,2,0,1
8151,15,1,1,3,1,1,1,3,0,2
7794,49,1,6,4,1,1,1,2,0,1
1675,71,2,1,4,1,1,2,1,0,2
3570,49,2,4,4,1,1,2,3,0,2
9745,29,1,6,5,1,1,1,7,3,1
6966,82,2,3,2,2,1,2,0,0,2
3395,42,1,8,5,1,1,2,1,0,1
5646,46,1,6,5,1,1,1,0,0,1
9264,24,2,7,5,1,1,2,2,1,1
7984,74,2,2,2,1,0,2,0,0,2
5358,49,1,9,5,1,1,1,0,0,1
9774,61,1,8,5,1,1,1,0,0,1
10297,61,2,5,3,1,1,2,0,0,2
5575,41,2,5,4,2,1,1,0,0,1
8981,45,1,12,5,1,1,1,0,0,1
6498,32,2,1,4,1,1,2,2,0,1
3787,80,2,2,2,1,0,2,0,0,2
2120,40,2,1,5,1,1,1,4,1,1
9281,34,1,7,5,1,1,2,4,3,1
2484,57,1,8,4,1,1,2,0,0,2
9523,22,2,1,5,1,1,1,3,2,1
1343,27,1,6,5,1,1,1,10,1,1
3528,29,1,1,5,1,1,1,6,0,1
6832,75,2,2,2,1,0,2,0,0,2
8189,55,2,3,4,1,1,1,1,0,2
2249,72,1,5,4,1,1,2,0,0,2
5370,29,1,5,5,1,1,1,10,0,1
4655,70,1,2,3,1,1,2,0,0,2
10159,41,1,11,5,1,1,2,10,0,2
1120,15,2,1,3,1,1,1,8,2,1
2744,17,1,1,4,1,1,1,1,0,2
9677,75,1,3,3,1,0,2,1,0,1
1398,61,2,1,5,1,1,2,0,0,2
3554,33,1,8,5,1,1,1,2,2,2
4331,52,1,6,5,1,1,1,50,20,1
7956,55,2,4,4,1,1,2,1,0,1
9265,49,1,9,5,1,1,2,2,0,1
