movieCd,audiCnt,audiAcc,scrnCnt,showCnt
20207501,4790,14678,392,671
20208122,3987,37950,333,525
20208264,3557,11440,378,656
20196782,2591,7855,380,575
20208282,1751,60019,157,305
20209029,1661,7204,126,217
20180962,1325,626747,6,6
20209161,18173,58251,594,1692
20179462,13729,1514465,519,1353
20207893,11879,171325,473,1124
20207501,4777,19455,387,665
20208122,4055,42005,317,505
20208264,3347,14787,371,635
20196782,2496,10351,366,574
20209029,1816,9020,141,230
20208282,1760,61779,154,300
20173226,1338,90898,99,117
