관객,전체스크린수,전체영화상영횟수,평균개봉기간,최고점유율,점유율편차,관객수,스크린수
5687.36,2982.0,12411.0,11.8,36.0,,5806.36,3051.0
1903.59,2441.0,11327.0,14.3,32.1,11.465096791760828,1994.59,2464.0
1984.19,2482.0,11436.0,16.6,32.4,11.336122205880926,2049.19,
2928.1,2673.0,11654.0,585.8888888888888,30.9,9.675679706241718,3001.1,2609.0
5416.1,2781.0,11965.0,527.2,27.5,8.937039032401428,5517.1,2767.0
1613.7,2621.0,10727.0,529.3,29.3,8.91525534002127,,
,2973.0,11108.0,,27.1,8.228027980290566,2589.95,
3970.26,2699.0,10926.0,14.6,62.1,19.12600324166029,4091.26,2730.0
6389.86,2792.0,,533.4,62.9,19.2699795306355,6478.86,2757.0
3326.74,2883.0,,13.4,34.3,12.088217403736579,3406.74,2845.0
7649.05,,12134.0,17.8,30.3,12.013584903026334,7751.05,3180.0
2381.54,2435.0,10858.0,12.9,,14.229484257070675,2507.54,2400.0
9180.71,3082.0,13522.0,13.0,,9.291387888194578,9261.71,3088.0
2753.06,,11444.0,13.7,19.8,6.604409301536528,,2889.0
3081.27,2908.0,11897.0,14.7,,6.209499890400907,3140.27,2912.0
2036.86,2892.0,11267.0,19.7,16.6,5.306432155622289,2073.86,2885.0
9172.62,3130.0,12777.0,17.0,71.4,21.71605908589821,9250.62,3118.0
4268.0,2874.0,11697.0,10.6,40.8,15.706647566485277,4324.0,2813.0
10880.65,2994.0,13277.0,9.1,,14.763859778376233,10983.65,2992.0
2641.93,2609.0,11631.0,,43.7,13.569884958162975,2711.93,
,2677.0,11426.0,17.7,43.1,13.39882250216206,2798.65,
6151.88,3060.0,11420.0,9.8,71.5,22.033058495512304,6248.88,3100.0
,3187.0,12295.0,14.0,64.8,19.883482815867268,12017.58,3169.0
4333.83,,11406.0,10.8,68.3,20.93369426440435,4394.83,3012.0
7390.05,3054.0,11670.0,9.3,57.4,18.56091772156395,7458.05,2986.0
13765.5,,12898.0,,54.2,17.512170371233577,13838.5,3395.0
8883.13,3284.0,12202.0,,55.1,17.093172776157022,9000.13,
9063.47,3298.0,12274.0,8.8,53.7,16.423658409610063,9180.47,
10165.41,3474.0,12799.0,10.0,53.3,16.30112811365452,10243.41,3520.0
,3435.0,12297.0,12.3,57.5,17.56493033797111,6514.33,
4072.06,3137.0,12627.0,16.4,28.5,9.991112717477137,4142.06,3214.0
3896.46,2796.0,12462.0,11.2,28.2,9.352385316651102,,2747.0
7937.03,,12998.0,16.1,25.6,8.761031141747338,7993.03,2958.0
2282.34,2741.0,11971.0,15.2,30.6,9.70037799950772,2376.34,2833.0
2758.89,2767.0,11575.0,14.6,33.3,10.073336642399633,2874.89,2841.0
2060.59,2869.0,11608.0,16.4,,7.065164934773677,2154.59,2820.0
3052.95,2901.0,11267.0,7.1,58.0,18.044589832473946,3174.95,2836.0
4099.95,2975.0,,8.1,61.2,18.886573714325923,4194.95,3035.0
,3215.0,,16.2,60.2,18.333745449913454,8144.7,3345.0
7241.71,,12235.0,15.8,60.5,18.356618546029782,7301.71,3315.0
,2832.0,10877.0,,61.3,18.69041643909163,2569.43,2891.0
6444.23,2960.0,13038.0,14.4,,16.33742805816006,6510.23,3050.0
15260.13,,13920.0,16.5,47.9,15.089275072786705,15331.13,3488.0
3971.36,2939.0,12715.0,,35.8,12.52772924356206,4032.36,2905.0
6490.44,,13147.0,14.3,37.3,12.231652927275743,6619.44,3116.0
2325.91,2857.0,12116.0,13.9,39.9,,2384.91,
2148.77,2699.0,11263.0,10.9,,12.50821951980199,2254.77,2760.0
1991.35,2839.0,11323.0,14.2,32.8,12.513796830343347,2056.35,2790.0
2018.42,2809.0,11204.0,14.7,33.2,12.063300635490364,2125.42,2812.0
,2489.0,,10.4,30.6,11.226338079118529,2171.05,2491.0
8266.18,2982.0,12358.0,13.8,45.1,14.413963137643073,,3065.0
2172.97,2619.0,10595.0,12.0,44.1,,2222.97,
2994.0,2732.0,10952.0,10.8,42.8,14.257769811579928,3062.0,2753.0
8175.98,3087.0,11606.0,14.6,49.5,15.533265378964382,,
2892.32,2683.0,10608.0,12.777777777777779,57.6,17.775201202174273,2970.32,
2858.17,2738.0,,,58.4,18.02542648593924,2917.17,2804.0
4765.79,2775.0,11770.0,12.6,41.3,13.887344358563784,4844.79,2764.0
10536.62,2872.0,12968.0,18.8,35.8,,10664.62,2879.0
3253.9,2662.0,11423.0,15.7,33.0,12.513796830343347,3382.9,2761.0
2896.26,2659.0,11705.0,19.4,21.4,8.731049319653524,2982.26,
2863.69,2491.0,11451.0,19.0,20.4,8.595147209650076,2938.69,2526.0
3442.07,2772.0,11319.0,17.5,31.5,8.741986806975477,3498.07,2697.0
3373.84,2840.0,10819.0,21.4,33.8,11.616922522290013,3479.84,2791.0
2895.36,2947.0,10584.0,22.8,29.5,10.557377620518373,2963.36,2989.0
,2957.0,,20.6,,14.086735289310687,4667.26,2917.0
2869.88,2722.0,10034.0,23.4,,12.890392632585796,2911.88,2724.0
11983.63,3445.0,12527.0,,24.4,7.514319663149817,,3403.0
3954.87,3176.0,11081.0,5.3,31.9,10.213150564073967,4116.87,3131.0
10044.85,3551.0,12907.0,9.9,29.8,9.05394327842233,10181.85,3466.0
4697.53,3399.0,11794.0,7.1,27.8,10.318160904174949,4811.53,3321.0
4704.69,3406.0,11870.0,8.1,27.5,10.126318844147331,4815.69,3397.0
10671.02,3518.0,13081.0,10.1,,10.599942347851602,10776.02,
9685.06,3310.0,12595.0,13.0,33.0,10.935690802749194,9771.06,
8999.86,3282.0,,14.0,,10.89487137244962,9077.86,3344.0
3911.2,2964.0,11017.0,11.6,25.7,8.80265111580975,4009.2,2992.0
3697.23,3189.0,11582.0,,35.0,9.837597945298096,3814.23,3190.0
12292.79,3610.0,12438.0,15.7,42.6,12.376393299790983,12366.79,3682.0
5637.39,3762.0,11593.0,17.3,47.1,14.904003936302937,5721.39,3809.0
6274.07,2957.0,11547.0,14.5,42.8,16.563493995330013,6365.07,2969.0
7050.32,3104.0,12127.0,17.1,47.6,17.654149653834935,7196.32,3216.0
13309.63,3365.0,12696.0,17.8,41.9,15.903266610633453,13405.63,3352.0
4514.73,2958.0,11486.0,21.2,43.3,17.28641406165869,,2939.0
8024.03,3001.0,13442.0,423.3,36.6,14.576007683861858,8145.03,
14106.17,3281.0,14076.0,425.3,37.6,14.172747714461643,14200.17,3272.0
,3040.0,12983.0,489.5,36.9,11.998819386367426,5565.77,2988.0
3940.87,3030.0,12735.0,493.5,,13.248601603355894,4030.87,3072.0
3973.23,3086.0,12710.0,494.5,43.0,13.211362954332573,4024.23,3075.0
3752.26,3062.0,,495.5,41.9,12.798784664525336,3799.26,3088.0
7733.48,3397.0,12562.0,12.4,31.7,,7823.48,3363.0
1849.73,2928.0,10978.0,16.1,36.6,11.170939481032422,1947.73,2980.0
1912.18,2962.0,11025.0,17.0,34.6,10.359000380774626,2048.18,2962.0
2697.26,,10961.0,14.2,27.4,10.13146912676867,2778.26,
6032.07,3178.0,11823.0,17.2,25.5,9.456238387670037,6153.07,3252.0
6462.36,3061.0,11792.0,13.6,31.2,,6541.36,3028.0
2645.54,2695.0,11281.0,15.5,46.8,14.319563152864996,2718.54,2699.0
2048.73,2696.0,11183.0,16.1,28.5,,2107.73,
2863.22,2828.0,,18.6,29.1,11.021010238025674,2934.22,2842.0
3321.49,2823.0,11537.0,678.5,35.1,12.98544484327656,3401.49,2874.0
6111.89,,12419.0,678.8,34.9,,6202.89,3066.0
1545.59,2862.0,10761.0,13.9,24.6,8.52466356455719,1593.59,2921.0
3492.8,2890.0,11015.0,11.7,81.3,,3594.8,2913.0
,3104.0,11971.0,371.7,77.7,,7250.98,3158.0
4876.54,2849.0,11596.0,375.0,78.6,24.415286650420928,4976.54,2867.0
9784.22,3333.0,12631.0,375.7,71.9,22.09474799333292,9914.22,3345.0
2407.4,2725.0,10855.0,375.0,70.0,21.638278838925967,2490.4,2727.0
1690.04,2392.0,10914.0,11.5,47.9,,1792.04,2395.0
2271.45,2429.0,10926.0,13.2,44.0,15.53610847885231,2392.45,2475.0
2117.79,2852.0,11448.0,8.9,32.7,11.30703320946746,2230.79,2831.0
3611.12,,12096.0,10.9,36.3,12.07674073029088,3690.12,2965.0
7288.12,,12594.0,12.5,33.8,10.86507657077891,7346.12,3613.0
2444.63,2939.0,11300.0,11.6,35.6,11.633973239325135,2526.63,2987.0
6683.79,3122.0,12717.0,13.7,,,6734.79,3098.0
1635.3,2830.0,11222.0,16.4,31.2,9.84051150432063,1717.3,
14172.2,3476.0,,9.6,62.6,18.82648548071455,14261.2,3527.0
,3399.0,12996.0,10.6,69.2,21.081115825412194,7462.97,3364.0
,2801.0,11982.0,,46.6,18.118143147439557,,
8442.88,2958.0,12271.0,17.6,46.3,17.996172432554157,8533.88,2948.0
2541.49,2669.0,11081.0,20.6,39.9,16.07046981267193,2611.49,2678.0
9574.59,3164.0,13552.0,12.7,,,9623.59,3075.0
3060.7,2726.0,11753.0,12.9,56.6,,3141.7,2690.0
,,11921.0,10.0,56.4,17.402158231412304,3231.59,2852.0
3643.29,2744.0,12474.0,739.2,40.9,13.20387569364894,3708.29,2701.0
4390.56,2798.0,12913.0,737.3,44.3,,4481.56,2845.0
8233.47,2995.0,13623.0,742.5,46.5,14.302121054817938,8321.47,2990.0
4227.73,2873.0,12334.0,9.3,49.4,15.519024167489109,4310.73,2959.0
3708.25,2866.0,11998.0,14.2,51.6,15.89165049815643,3795.25,2915.0
4689.48,2829.0,12500.0,9.9,47.8,16.507156697088153,4760.48,2760.0
,3103.0,13653.0,16.9,,16.261764971859606,11543.99,3105.0
3227.63,2842.0,12531.0,12.4,40.9,15.471841806614,3304.63,2817.0
10685.29,3456.0,14119.0,14.5,30.2,,10787.29,3461.0
3531.29,2926.0,12708.0,12.6,40.4,12.812584959067914,3612.29,2936.0
,3651.0,14539.0,8.1,48.9,15.52544864264977,12385.91,3644.0
14600.62,4074.0,14969.0,13.1,,14.796410976239397,14642.62,4044.0
,4060.0,14656.0,13.9,43.1,14.31929933108926,13623.21,4072.0
4605.76,,13853.0,14.4,44.2,14.074440979622915,,3359.0
6554.38,3358.0,14252.0,11.2,33.5,,6633.38,3381.0
3678.58,3118.0,13324.0,12.9,31.7,11.812653291186438,3730.58,
4328.56,3016.0,12825.0,10.8,30.3,10.467813100696398,4407.56,2960.0
5269.61,3101.0,13266.0,11.6,,10.515602164825788,5310.61,3076.0
1847.33,2776.0,11916.0,,,13.966483690129975,1944.33,2761.0
1708.7,2861.0,11984.0,19.3,47.7,14.157640261631801,1762.7,
11246.47,3628.0,13161.0,13.0,60.4,18.1835365097112,11314.47,3606.0
3544.25,3285.0,12243.0,14.0,66.7,20.33946355678482,3661.25,3244.0
11437.82,4089.0,13472.0,14.0,46.3,13.946281862122884,11512.82,4116.0
,3096.0,11882.0,10.3,,13.075460476276412,2714.85,3150.0
3431.48,,12019.0,11.6,37.7,13.057330848565064,3519.48,2985.0
6907.58,3523.0,13384.0,12.3,36.3,,6945.58,3401.0
2085.53,2922.0,11403.0,14.0,38.1,12.580712751403768,2147.53,3013.0
8238.92,,13134.0,11.3,27.6,9.352694204820816,8396.92,3347.0
5810.29,,12810.0,14.3,30.0,,5912.29,
3023.82,2784.0,,12.0,,11.683302425066106,3075.82,2744.0
,2678.0,,10.7,47.5,14.923002378878053,2670.09,2612.0
6368.41,3455.0,12993.0,15.5,45.0,14.47130877902126,6503.41,3393.0
5954.43,3421.0,12583.0,16.5,45.5,14.526145011285305,6011.43,
2112.44,2717.0,11311.0,,44.6,14.418587540625007,2185.44,2725.0
2236.63,2769.0,11187.0,15.0,,13.351525089749945,2305.63,2772.0
7212.59,2965.0,13469.0,16.1,45.3,14.134685469911714,7256.59,2956.0
2120.63,2848.0,12614.0,13.2,46.1,14.134516459913144,2229.63,2884.0
3008.17,2850.0,13120.0,6.5,33.1,12.064622294589713,3118.17,2860.0
2282.13,2792.0,,10.1,,12.014972141272551,2357.13,2763.0
,3099.0,12988.0,12.7,38.7,12.658348145701233,6391.64,3037.0
1836.31,2797.0,11344.0,16.2,29.7,10.389931023190996,1913.31,2866.0
1797.39,2818.0,11414.0,15.2,30.3,10.403209974703854,,
2674.59,3015.0,11773.0,7.8,21.5,7.104184995088773,,2905.0
3377.04,3135.0,12254.0,8.8,24.2,7.366206622135983,3479.04,
6788.1,3328.0,,12.6,21.3,6.150013550120574,6887.1,3379.0
5865.15,3461.0,12436.0,9.4,19.9,6.169782996363993,5959.15,3518.0
1889.57,2858.0,11266.0,11.0,22.2,7.01126870750857,1940.57,2878.0
