age,sex,income,education,live_in_city,own_smartphone,own_tablet,sns_use,newspaper
12,1,1,2,1,1,1,1,0
55,0,1,5,1,1,0,1,1
50,1,6,4,1,1,0,1,0
28,1,6,5,1,1,0,1,1
26,1,9,5,1,1,0,1,0
23,0,8,5,1,1,0,1,0
51,0,9,4,1,1,1,1,0
47,1,1,4,1,1,0,0,1
24,1,5,5,1,1,0,1,1
22,0,1,5,1,1,0,0,0
59,0,8,5,1,1,0,0,0
56,1,1,4,1,1,0,1,0
31,0,5,5,1,1,0,1,1
29,1,5,5,1,1,0,1,1
66,0,1,4,1,1,0,0,0
59,1,1,4,1,1,0,0,0
26,0,6,5,1,1,1,1,1
49,0,7,5,1,1,0,1,0
46,1,1,4,1,1,0,1,0
45,0,9,5,1,1,0,1,0
43,1,1,5,1,1,0,1,1
42,0,9,5,1,1,0,1,1
40,1,1,5,1,1,0,1,1
58,0,5,3,1,1,0,0,0
50,1,1,4,1,1,0,1,0
27,0,5,5,1,1,0,1,0
28,0,5,4,1,1,0,1,1
54,0,9,4,1,1,0,1,1
56,1,1,4,1,1,0,0,0
25,0,7,5,1,1,0,1,1
23,1,1,5,1,1,1,1,1
42,0,7,5,1,1,0,0,0
42,1,1,4,1,1,0,0,0
61,0,8,5,1,1,0,0,1
61,1,8,4,1,1,0,1,1
36,0,7,5,1,1,0,1,1
44,0,8,5,1,1,0,0,1
43,1,1,5,1,1,0,0,1
12,1,1,2,1,0,0,0,0
35,0,6,5,1,1,1,1,0
32,1,1,5,1,1,1,1,0
53,0,11,4,1,1,0,1,0
77,1,1,2,1,0,0,0,0
24,0,1,5,1,1,0,1,0
18,0,1,4,1,1,0,1,0
55,0,7,5,1,1,0,1,0
54,1,6,5,1,1,0,1,0
29,1,6,6,1,1,0,1,1
28,0,1,5,1,1,0,1,0
60,0,12,4,1,1,0,0,0
57,1,1,4,1,1,0,0,0
87,1,2,2,1,1,0,0,0
47,0,6,5,1,1,0,0,0
84,1,2,2,1,1,0,0,0
57,0,6,4,1,1,0,0,1
52,1,1,4,1,1,0,0,1
16,0,1,4,1,1,0,1,1
12,0,1,2,1,1,0,0,0
60,0,4,3,1,1,0,1,0
77,0,2,3,1,1,0,0,0
75,1,2,2,1,1,0,0,0
36,1,6,5,1,1,0,0,1
50,0,13,4,1,1,0,1,1
47,1,5,4,1,1,0,1,1
20,0,1,5,1,1,0,0,0
15,0,1,3,1,1,0,1,0
44,0,7,5,1,1,0,1,0
44,1,5,5,1,1,0,1,0
15,0,1,3,1,1,0,0,0
14,0,1,3,1,1,0,0,0
56,1,1,4,1,1,0,0,1
38,0,9,5,1,1,0,0,0
38,1,1,5,1,1,0,0,0
9,1,1,2,1,1,0,0,0
23,0,5,5,1,1,0,1,1
53,0,4,4,1,1,1,1,1
50,1,7,4,1,1,0,0,0
49,0,10,4,1,1,0,1,1
44,1,8,4,1,1,0,0,1
19,1,1,5,1,1,0,1,0
13,0,1,3,1,1,1,1,1
53,1,1,5,1,1,0,0,1
26,0,4,4,1,1,0,1,1
55,0,9,5,1,1,0,1,1
54,1,1,5,1,1,0,1,1
24,1,5,5,1,1,0,1,1
53,0,7,5,1,1,1,1,1
55,1,1,4,1,1,0,0,1
47,0,7,4,1,1,0,0,0
47,1,2,4,1,1,0,0,0
11,1,1,2,1,1,1,0,0
