rnum,rankInten,rankOldAndNew,date,movieCd,salesAmt,salesShare,salesChange
9,0,OLD,4/20/2020,20206447,4996660,3.7,-63
10,2,OLD,4/20/2020,20161827,3936900,2.9,-53.7
1,0,OLD,4/21/2020,20167904,13274620,9.4,-2.6
2,0,OLD,4/21/2020,20192399,17875860,12.7,6.5
3,0,OLD,4/21/2020,20206190,13780860,9.8,-12.8
4,0,NEW,4/21/2020,20205402,6130000,4.3,100
5,-1,OLD,4/21/2020,20206021,9402500,6.7,-16.2
6,-1,OLD,4/21/2020,20204741,8245120,5.8,-2.6
7,0,OLD,4/21/2020,20206402,6666400,4.7,-1.2
8,0,OLD,4/21/2020,20205262,5891500,4.2,4.5
9,-3,OLD,4/21/2020,20196716,5710060,4,-27.3
10,-1,OLD,4/21/2020,20206447,5380980,3.8,7.7
1,0,OLD,4/22/2020,20167904,15011520,10,13.1
2,0,OLD,4/22/2020,20192399,19764040,13.2,10.6
3,11,OLD,4/22/2020,20206165,11414300,7.6,132.7
4,-1,OLD,4/22/2020,20206190,11799040,7.9,-14.4
5,0,NEW,4/22/2020,19888010,5177500,3.5,100
6,1,OLD,4/22/2020,20204741,8417020,5.6,2.1
7,-2,OLD,4/22/2020,20206021,8474500,5.7,-9.9
8,0,NEW,4/22/2020,20139083,3999000,2.7,100
9,-1,OLD,4/22/2020,20205262,5866200,3.9,-0.4
10,-3,OLD,4/22/2020,20206402,5580800,3.7,-16.3
1,0,OLD,4/23/2020,20167904,13475320,8.1,-10.2
2,117,OLD,4/23/2020,20124721,14237480,8.5,100
3,-1,OLD,4/23/2020,20192399,16346000,9.8,-17.3
4,0,NEW,4/23/2020,20148493,7491900,4.5,100
5,0,NEW,4/23/2020,20207722,5458500,3.3,100
6,13,OLD,4/23/2020,20206865,7940880,4.8,304.4
7,-4,OLD,4/23/2020,20206165,6977840,4.2,-38.9
8,-4,OLD,4/23/2020,20206190,7772240,4.7,-34.1
9,-4,OLD,4/23/2020,19888010,4380000,2.6,-15.4
10,0,NEW,4/23/2020,20207101,6232280,3.7,100
1,0,OLD,4/24/2020,20167904,17321540,10.3,28.5
2,1,OLD,4/24/2020,20192399,22216340,13.3,35.9
3,-1,OLD,4/24/2020,20124721,10864580,6.5,-23.7
4,0,OLD,4/24/2020,20148493,7676240,4.6,2.5
5,1,OLD,4/24/2020,20206865,9464940,5.6,19.2
6,3,OLD,4/24/2020,19888010,4946500,3,12.9
7,1,OLD,4/24/2020,20206190,8162140,4.9,5
8,2,OLD,4/24/2020,20207101,6654840,4,6.8
9,-4,OLD,4/24/2020,20207722,3640500,2.2,-33.3
10,3,OLD,4/24/2020,20204741,6721900,4,36.8
1,0,OLD,4/25/2020,20167904,35723620,9.8,106.2
2,0,OLD,4/25/2020,20192399,60519580,16.5,172.4
3,0,OLD,4/25/2020,20124721,17990400,4.9,65.6
4,0,OLD,4/25/2020,20148493,13556420,3.7,76.6
5,0,OLD,4/25/2020,20206865,18351780,5,93.9
6,11,OLD,4/25/2020,20196716,19049600,5.2,395.8
7,0,OLD,4/25/2020,20206190,17415660,4.8,113.4
8,-2,OLD,4/25/2020,19888010,8857500,2.4,79.1
9,2,OLD,4/25/2020,20206021,11793000,3.2,82.1
10,0,OLD,4/25/2020,20204741,11207780,3.1,66.7
1,1,OLD,4/26/2020,20192399,55693360,16.6,-8
2,-1,OLD,4/26/2020,20167904,32074800,9.6,-10.2
3,0,OLD,4/26/2020,20124721,14951020,4.5,-16.9
4,2,OLD,4/26/2020,20196716,21513900,6.4,12.9
5,0,OLD,4/26/2020,20206865,19132780,5.7,4.3
